file_base,label,temperature_mean,temperature_std,temperature_min,temperature_max,temperature_first,temperature_last,temperature_range,temperature_slope,humidity_mean,humidity_std,humidity_min,humidity_max,humidity_first,humidity_last,humidity_range,humidity_slope,vibration_mean,vibration_std,vibration_min,vibration_max,vibration_first,vibration_last,vibration_range,vibration_slope,acceleration_mean,acceleration_std,acceleration_min,acceleration_max,acceleration_first,acceleration_last,acceleration_range,acceleration_slope,noise_mean,noise_std,noise_min,noise_max,noise_first,noise_last,noise_range,noise_slope,outlier_score,is_outlier,defect_type,has_thumbnail
SD_DEF_NM_C_20250903-101039_00599,1,24.424,0.010198039027185631,24.41,24.44,24.44,24.43,0.030000000000001137,-0.0010000000000009086,54.996,1.17933201431997,53.24,56.57,53.24,56.57,3.3299999999999983,0.831999999999996,0.40624000000000005,0.020028939063265437,0.3797,0.4353,0.3797,0.4353,0.05560000000000004,0.014130000000000014,0.0152,0.0025115732121520963,0.0121,0.019,0.019,0.0121,0.0069,-0.0017600000000000011,78.87400000000001,0.7813475539092714,77.79,80.18,80.18,77.79,2.3900000000000006,-0.5320000000000091,0,False,불량(미납),True
SD_DEF_NM_A_20250821-094418_00032,1,24.924,0.17995555006723182,24.67,25.19,25.19,24.67,0.5199999999999996,-0.1270000000000001,44.370000000000005,0.3737913856685318,43.8,44.85,44.85,43.8,1.0500000000000043,-0.26300000000000284,0.38904,0.025523448042927114,0.351,0.4251,0.4251,0.351,0.0741,-0.018000000000000065,0.040240000000000005,0.00025768197453450203,0.04,0.0406,0.0406,0.04,0.0005999999999999964,-0.00017000000000000492,63.153999999999996,0.6565546435750794,62.2,64.0,62.2,64.0,1.7999999999999972,0.4619999999999928,0,False,불량(미납),False
SD_DEF_NM_C_20250903-093210_00491,1,25.525999999999996,0.32116039606402225,25.07,25.99,25.07,25.99,0.9199999999999982,0.2269999999999969,51.27,0.7644344314589693,50.17,52.41,50.17,52.41,2.239999999999995,0.5379999999999981,0.49673999999999996,0.006519999999999993,0.4837,0.5,0.4837,0.5,0.01629999999999998,0.003259999999999963,0.04598000000000001,0.0008447484832777151,0.0451,0.0471,0.0471,0.0451,0.0020000000000000018,-0.0005600000000000047,71.64599999999999,0.07889233169326272,71.55,71.74,71.66,71.56,0.18999999999999773,-0.039000000000008514,0,False,불량(미납),False
SD_DEF_NM_C_20250903-103832_00670,1,26.844,0.15882065356873484,26.59,27.0,26.59,27.0,0.41000000000000014,0.1079999999999977,63.35799999999999,0.36405494090864776,62.84,63.93,63.93,62.84,1.0899999999999963,-0.24900000000000017,0.4577400000000001,0.0035364388867899343,0.4525,0.4615,0.4605,0.4525,0.009000000000000008,-0.002100000000000058,0.03622,0.0012188519188154057,0.0347,0.0382,0.0382,0.0347,0.003499999999999996,-0.0008300000000000022,74.78999999999999,0.3498571136907201,74.1,75.0,74.1,75.0,0.9000000000000057,0.19499999999998674,0,False,불량(미납),False
SD_DEF_NM_C_20250903-105715_00726,1,23.817999999999998,0.3523293913371409,23.31,24.3,23.31,24.3,0.990000000000002,0.24899999999999764,41.638,0.5502508518848466,40.85,42.37,42.37,40.85,1.519999999999996,-0.3880000000000051,0.24924,0.02413202022210324,0.2172,0.284,0.284,0.2172,0.06679999999999997,-0.017030000000000017,0.04638,0.000474973683481517,0.0456,0.0471,0.0471,0.0456,0.0015000000000000013,-0.0003000000000000065,68.664,1.0514104812108336,67.11,70.07,67.11,70.07,2.9599999999999937,0.7419999999999886,0,False,불량(미납),True
SD_DEF_NM_A_20250821-183608_00184,1,23.656,0.41725771412881024,23.06,24.24,23.06,24.24,1.1799999999999997,0.29499999999999693,44.634,1.0843726296804068,43.17,46.31,43.17,46.31,3.1400000000000006,0.7629999999999956,0.44582,0.03812964201248157,0.389,0.4984,0.4984,0.389,0.1094,-0.026920000000000034,0.010960000000000001,0.0013994284547628718,0.01,0.0136,0.0136,0.01,0.003599999999999999,-0.0008400000000000006,79.68,0.2236962225876854,79.31,79.94,79.94,79.55,0.6299999999999955,-0.12700000000001144,0,False,불량(미납),False
SD_DEF_NM_C_20250903-090057_00404,1,23.522000000000002,0.24506325713986488,23.17,23.88,23.17,23.88,0.7099999999999973,0.1729999999999971,59.26400000000001,0.07838367176906202,59.17,59.35,59.27,59.35,0.17999999999999972,-0.0010000000000025251,0.28514000000000006,0.006814279125483489,0.2767,0.2937,0.2767,0.2937,0.017000000000000015,0.004719999999999996,0.019340000000000003,0.0029513386793114755,0.0157,0.024,0.0157,0.024,0.008300000000000002,0.0020599999999999993,82.952,0.8947714792057216,81.78,84.32,81.78,84.32,2.539999999999992,0.6299999999999885,0,False,불량(미납),False
SD_DEF_NM_A_20250821-134203_00091,1,26.179999999999996,0.39814570197353616,25.64,26.77,26.77,25.64,1.129999999999999,-0.28100000000000164,52.254,0.9551251226933578,50.91,53.64,53.64,50.91,2.730000000000004,-0.6750000000000038,0.49572000000000005,0.00855999999999999,0.4786,0.5,0.4786,0.5,0.021399999999999975,0.004279999999999954,0.04732,0.0014579437574886091,0.0452,0.0494,0.0452,0.0494,0.004200000000000002,0.0010299999999999975,69.146,0.0904654630231918,68.99,69.23,69.1,69.23,0.2400000000000091,0.028999999999995755,0,False,불량(미납),False
SD_DEF_NM_C_20250903-100931_00590,1,23.86,0.20668817092422162,23.58,24.16,24.16,23.58,0.5800000000000018,-0.14600000000000082,58.855999999999995,0.5073302671830244,58.2,59.65,58.2,59.65,1.4499999999999957,0.35099999999999615,0.49681999999999993,0.00636000000000001,0.4841,0.5,0.4841,0.5,0.015900000000000025,0.003179999999999959,0.01932,0.0009239047569960887,0.018,0.0205,0.0205,0.018,0.0025000000000000022,-0.000650000000000003,81.53,0.17017637908946137,81.23,81.76,81.23,81.76,0.5300000000000011,0.1079999999999947,0,False,불량(미납),True
SD_DEF_NM_A_20250902-112715_00243,1,26.95,0.1,26.75,27.0,26.75,27.0,0.25,0.049999999999997685,53.472,0.4524776237561349,52.7,53.98,52.7,53.98,1.279999999999994,0.3099999999999949,0.27649999999999997,0.02338828766712091,0.2465,0.3119,0.3119,0.2465,0.06540000000000001,-0.016460000000000072,0.01936,0.0011464728518373215,0.018,0.021,0.018,0.021,0.0030000000000000027,0.0007999999999999995,87.72,0.7543739125924204,86.93,89.05,86.93,89.05,2.1199999999999903,0.5080000000000018,5,True,불량(미납),False
